archivo_entrada,algoritmo,n,tipo,dominio,muestra,tiempo_us,tiempo_ms,memoria_kb,resultado_correcto,archivo_salida
1000_descendente_D1_b.txt,stdsort,1000,descendente,D1,b,619,0.619534,0,true,data/array_output/1000_descendente_D1_b_stdsort.txt
1000_descendente_D1_c.txt,merge,1000,descendente,D1,c,1849,1.84927,0,true,data/array_output/1000_descendente_D1_c_merge.txt
1000_descendente_D1_c.txt,quick,1000,descendente,D1,c,14646,14.6462,0,true,data/array_output/1000_descendente_D1_c_quick.txt
1000_descendente_D1_c.txt,patience,1000,descendente,D1,c,1292,1.29296,0,true,data/array_output/1000_descendente_D1_c_patience.txt
1000_descendente_D1_c.txt,stdsort,1000,descendente,D1,c,595,0.59584,0,true,data/array_output/1000_descendente_D1_c_stdsort.txt
1000_descendente_D7_a.txt,merge,1000,descendente,D7,a,1732,1.73214,0,true,data/array_output/1000_descendente_D7_a_merge.txt
1000_descendente_D7_a.txt,quick,1000,descendente,D7,a,8690,8.69018,0,true,data/array_output/1000_descendente_D7_a_quick.txt
1000_descendente_D7_a.txt,patience,1000,descendente,D7,a,636,0.636014,0,true,data/array_output/1000_descendente_D7_a_patience.txt
1000_descendente_D7_a.txt,stdsort,1000,descendente,D7,a,484,0.484244,0,true,data/array_output/1000_descendente_D7_a_stdsort.txt
1000_descendente_D7_b.txt,merge,1000,descendente,D7,b,312,0.312093,0,true,data/array_output/1000_descendente_D7_b_merge.txt
1000_descendente_D7_b.txt,quick,1000,descendente,D7,b,4324,4.32441,0,true,data/array_output/1000_descendente_D7_b_quick.txt
1000_descendente_D7_b.txt,patience,1000,descendente,D7,b,583,0.583443,0,true,data/array_output/1000_descendente_D7_b_patience.txt
1000_descendente_D7_b.txt,stdsort,1000,descendente,D7,b,416,0.416554,0,true,data/array_output/1000_descendente_D7_b_stdsort.txt
1000_descendente_D7_c.txt,merge,1000,descendente,D7,c,1723,1.72364,0,true,data/array_output/1000_descendente_D7_c_merge.txt
1000_descendente_D7_c.txt,quick,1000,descendente,D7,c,19005,19.0053,0,true,data/array_output/1000_descendente_D7_c_quick.txt
1000_descendente_D7_c.txt,patience,1000,descendente,D7,c,1283,1.28303,0,true,data/array_output/1000_descendente_D7_c_patience.txt
1000_descendente_D7_c.txt,stdsort,1000,descendente,D7,c,441,0.441596,0,true,data/array_output/1000_descendente_D7_c_stdsort.txt
100000_aleatorio_D1_a.txt,merge,100000,aleatorio,D1,a,49842,49.8423,384,true,data/array_output/100000_aleatorio_D1_a_merge.txt
100000_aleatorio_D1_a.txt,quick,100000,aleatorio,D1,a,5577294,5577.29,384,true,data/array_output/100000_aleatorio_D1_a_quick.txt
100000_aleatorio_D1_a.txt,patience,100000,aleatorio,D1,a,91046,91.0467,128,true,data/array_output/100000_aleatorio_D1_a_patience.txt
100000_aleatorio_D1_a.txt,stdsort,100000,aleatorio,D1,a,62612,62.6122,0,true,data/array_output/100000_aleatorio_D1_a_stdsort.txt
100000_aleatorio_D1_b.txt,merge,100000,aleatorio,D1,b,54398,54.3981,0,true,data/array_output/100000_aleatorio_D1_b_merge.txt
100000_aleatorio_D1_b.txt,quick,100000,aleatorio,D1,b,5588713,5588.71,0,true,data/array_output/100000_aleatorio_D1_b_quick.txt
100000_aleatorio_D1_b.txt,patience,100000,aleatorio,D1,b,90557,90.5576,0,true,data/array_output/100000_aleatorio_D1_b_patience.txt
100000_aleatorio_D1_b.txt,stdsort,100000,aleatorio,D1,b,26502,26.5022,0,true,data/array_output/100000_aleatorio_D1_b_stdsort.txt
100000_aleatorio_D1_c.txt,merge,100000,aleatorio,D1,c,58047,58.0471,0,true,data/array_output/100000_aleatorio_D1_c_merge.txt
100000_aleatorio_D1_c.txt,quick,100000,aleatorio,D1,c,5694376,5694.38,0,true,data/array_output/100000_aleatorio_D1_c_quick.txt
100000_aleatorio_D1_c.txt,patience,100000,aleatorio,D1,c,90621,90.6217,0,true,data/array_output/100000_aleatorio_D1_c_patience.txt
100000_aleatorio_D1_c.txt,stdsort,100000,aleatorio,D1,c,61845,61.8451,0,true,data/array_output/100000_aleatorio_D1_c_stdsort.txt
100000_aleatorio_D7_a.txt,merge,100000,aleatorio,D7,a,58140,58.141,0,true,data/array_output/100000_aleatorio_D7_a_merge.txt
100000_aleatorio_D7_a.txt,quick,100000,aleatorio,D7,a,45521,45.5217,0,true,data/array_output/100000_aleatorio_D7_a_quick.txt
100000_aleatorio_D7_a.txt,patience,100000,aleatorio,D7,a,138154,138.154,0,true,data/array_output/100000_aleatorio_D7_a_patience.txt
100000_aleatorio_D7_a.txt,stdsort,100000,aleatorio,D7,a,40736,40.7369,128,true,data/array_output/100000_aleatorio_D7_a_stdsort.txt
100000_aleatorio_D7_b.txt,merge,100000,aleatorio,D7,b,63925,63.926,0,true,data/array_output/100000_aleatorio_D7_b_merge.txt
100000_aleatorio_D7_b.txt,quick,100000,aleatorio,D7,b,57267,57.2678,0,true,data/array_output/100000_aleatorio_D7_b_quick.txt
100000_aleatorio_D7_b.txt,patience,100000,aleatorio,D7,b,101755,101.755,0,true,data/array_output/100000_aleatorio_D7_b_patience.txt
100000_aleatorio_D7_b.txt,stdsort,100000,aleatorio,D7,b,32492,32.4929,0,true,data/array_output/100000_aleatorio_D7_b_stdsort.txt
100000_aleatorio_D7_c.txt,merge,100000,aleatorio,D7,c,60291,60.2911,0,true,data/array_output/100000_aleatorio_D7_c_merge.txt
100000_aleatorio_D7_c.txt,quick,100000,aleatorio,D7,c,20946,20.9467,0,true,data/array_output/100000_aleatorio_D7_c_quick.txt
100000_aleatorio_D7_c.txt,patience,100000,aleatorio,D7,c,138498,138.498,0,true,data/array_output/100000_aleatorio_D7_c_patience.txt
100000_aleatorio_D7_c.txt,stdsort,100000,aleatorio,D7,c,64984,64.9845,0,true,data/array_output/100000_aleatorio_D7_c_stdsort.txt
100000_ascendente_D1_a.txt,merge,100000,ascendente,D1,a,56891,56.8919,0,true,data/array_output/100000_ascendente_D1_a_merge.txt
100000_ascendente_D1_a.txt,quick,100000,ascendente,D1,a,55307159,55307.2,4096,true,data/array_output/100000_ascendente_D1_a_quick.txt
100000_ascendente_D1_a.txt,patience,100000,ascendente,D1,a,83301,83.3013,0,true,data/array_output/100000_ascendente_D1_a_patience.txt
100000_ascendente_D1_a.txt,stdsort,100000,ascendente,D1,a,55012,55.0121,0,true,data/array_output/100000_ascendente_D1_a_stdsort.txt
100000_ascendente_D1_b.txt,merge,100000,ascendente,D1,b,50149,50.1494,0,true,data/array_output/100000_ascendente_D1_b_merge.txt
100000_ascendente_D1_b.txt,quick,100000,ascendente,D1,b,55385542,55385.5,0,true,data/array_output/100000_ascendente_D1_b_quick.txt
100000_ascendente_D1_b.txt,patience,100000,ascendente,D1,b,88753,88.7534,0,true,data/array_output/100000_ascendente_D1_b_patience.txt
100000_ascendente_D1_b.txt,stdsort,100000,ascendente,D1,b,55390,55.3908,0,true,data/array_output/100000_ascendente_D1_b_stdsort.txt
100000_ascendente_D1_c.txt,merge,100000,ascendente,D1,c,52254,52.2541,0,true,data/array_output/100000_ascendente_D1_c_merge.txt
100000_ascendente_D1_c.txt,quick,100000,ascendente,D1,c,55726743,55726.7,0,true,data/array_output/100000_ascendente_D1_c_quick.txt
100000_ascendente_D1_c.txt,patience,100000,ascendente,D1,c,58315,58.3157,0,true,data/array_output/100000_ascendente_D1_c_patience.txt
100000_ascendente_D1_c.txt,stdsort,100000,ascendente,D1,c,43471,43.4712,0,true,data/array_output/100000_ascendente_D1_c_stdsort.txt
100000_ascendente_D7_a.txt,merge,100000,ascendente,D7,a,50424,50.4241,0,true,data/array_output/100000_ascendente_D7_a_merge.txt
100000_ascendente_D7_a.txt,quick,100000,ascendente,D7,a,55908971,55909,0,true,data/array_output/100000_ascendente_D7_a_quick.txt
100000_ascendente_D7_a.txt,patience,100000,ascendente,D7,a,152060,152.06,6152,true,data/array_output/100000_ascendente_D7_a_patience.txt
100000_ascendente_D7_a.txt,stdsort,100000,ascendente,D7,a,25360,25.3605,0,true,data/array_output/100000_ascendente_D7_a_stdsort.txt
100000_ascendente_D7_b.txt,merge,100000,ascendente,D7,b,41165,41.1652,0,true,data/array_output/100000_ascendente_D7_b_merge.txt
100000_ascendente_D7_b.txt,quick,100000,ascendente,D7,b,55659756,55659.8,0,true,data/array_output/100000_ascendente_D7_b_quick.txt
100000_ascendente_D7_b.txt,patience,100000,ascendente,D7,b,163878,163.879,712,true,data/array_output/100000_ascendente_D7_b_patience.txt
100000_ascendente_D7_b.txt,stdsort,100000,ascendente,D7,b,23166,23.1662,0,true,data/array_output/100000_ascendente_D7_b_stdsort.txt
100000_ascendente_D7_c.txt,merge,100000,ascendente,D7,c,51238,51.2385,0,true,data/array_output/100000_ascendente_D7_c_merge.txt
100000_ascendente_D7_c.txt,quick,100000,ascendente,D7,c,55227911,55227.9,0,true,data/array_output/100000_ascendente_D7_c_quick.txt
100000_ascendente_D7_c.txt,patience,100000,ascendente,D7,c,179926,179.927,0,true,data/array_output/100000_ascendente_D7_c_patience.txt
100000_ascendente_D7_c.txt,stdsort,100000,ascendente,D7,c,53114,53.1149,0,true,data/array_output/100000_ascendente_D7_c_stdsort.txt
100000_descendente_D1_a.txt,merge,100000,descendente,D1,a,49743,49.7432,0,true,data/array_output/100000_descendente_D1_a_merge.txt
100000_descendente_D1_a.txt,quick,100000,descendente,D1,a,5802802,5802.8,0,true,data/array_output/100000_descendente_D1_a_quick.txt
100000_descendente_D1_a.txt,patience,100000,descendente,D1,a,52664,52.6645,0,true,data/array_output/100000_descendente_D1_a_patience.txt
100000_descendente_D1_a.txt,stdsort,100000,descendente,D1,a,30125,30.1252,0,true,data/array_output/100000_descendente_D1_a_stdsort.txt
100000_descendente_D1_b.txt,merge,100000,descendente,D1,b,51775,51.7754,0,true,data/array_output/100000_descendente_D1_b_merge.txt
100000_descendente_D1_b.txt,quick,100000,descendente,D1,b,27489503,27489.5,0,true,data/array_output/100000_descendente_D1_b_quick.txt
